Período;Região;Instituição Hospitalar;Sigla;Ponto ou Localização Geográfica;Grupo;Despesa;N.º doentes;Custo Médio
2023-12;LVT;Hospital de Vila Franca de Xira, EPE;HVFX;38.952565, -8.992398;Grupo C;2228015.57;511.0;363.34239562948466
2024-03;;Unidade Local de Saúde de Amadora/Sintra E. P. E.;ULSASi;38.7422257, -9.2264834;Grupo D;4756646.41;2951.0;537.2920377273241
2024-03;;Unidade Local de Saúde de Lisboa Ocidental, E. P. E.;ULSLOci;38.708454, -9.216985;Grupo E;4572024.34;2694.0;565.7045706508289
2024-03;;Unidade Local de Saúde de Santa Maria, E. P. E.;ULSSM;38.7500861, -9.1616116;Grupo E;6207383.73;3398.0;608.925223660977
2024-03;;Unidade Local de Saúde de São José, E. P. E.;ULSSJe;38.7166948, -9.1371248;Grupo E;8415309.12;5538.0;506.5191477067533
2024-03;;Unidade Local de Saúde da Lezíria, E. P. E.;ULSL;39.2410946, -8.6937515;Grupo C;1265692.95;927.0;455.1215210355987
2025-03;;Unidade Local de Saúde de Gaia/Espinho, E.P.E.;ULSGE;41.1094138, -8.5972617;Grupo D;2293734.08;1427.0;535.7939920579304
2025-03;;Unidade Local de Saúde do Alentejo Central, E. P. E.;ULSAC;38.5684861, -7.9032848;Grupo D;315975.77;228.0;461.9528801169591
2025-03;;Unidade Local de Saúde de Santo António, E. P. E.;ULSSA;41.1472498, -8.6172617;Grupo E;4512903.81;3053.0;492.72887979037006
2016-12;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;CHVNGE;41.1094138, -8.5972617;Grupo D;8059701.86;1145.0;586.5867438136827
2016-12;Algarve;Centro Hospitalar Universitário do Algarve, EPE;CHUA;37.0238973, -7.9281554;Grupo D;10594422.43;1742.0;506.8131663796403
2016-12;Centro;Centro Hospitalar e Universitario de Coimbra, E.P.E.;CHUC;40.2191523, -8.4098211;Grupo E;15112953.229999999;1987.0;633.8262552424089
2016-12;LVT;Centro Hospitalar Universitário Lisboa Norte, E.P.E.;CHULN;38.7500861, -9.1616116;Grupo E;27999205.63;3843.0;607.1473161158816
2017-12;Norte;Hospital da Senhora da Oliveira Guimarães, EPE;HSOG;41.4387173, -8.3086907;Grupo C;2558344.4899999998;313.0;681.1353807241745
2017-12;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;ULSAM;41.7056054, -8.8252713;Grupo C;1531369.7900000003;226.0;564.6643768436579
2017-12;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;ULSNA;39.3003425, -7.4263845;Grupo C;683579.1799999999;125.0;455.7194533333333
2017-12;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;CHLO;38.708454, -9.216985;Grupo E;18131501.409999993;2520.0;599.5866868386241
2017-12;Norte;Centro Hospitalar Universitário de São João, E.P.E.;CHUSJ;41.1831056, -8.6010558;Grupo E;13287122.14;2346.0;471.97791062801934
2018-12;Norte;Hospital da Senhora da Oliveira Guimarães, EPE;HSOG;41.4387173, -8.3086907;Grupo C;2108749.1300000004;344.0;510.84039001938
2018-12;Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;ULSBA;38.014123,-7.8721227;Grupo C;1226420.1500000001;179.0;570.9591014897579
2018-12;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;HFF;38.7422257, -9.2264834;Grupo D;14836323.159999996;2626.0;470.8150279258694
2019-12;LVT;Centro Hospitalar Barreiro Montijo, EPE;CHBM;38.6554005, -9.0592392;Grupo C;4931379.380000001;850.0;483.46856666666673
2019-12;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;ULSAM;41.7056054, -8.8252713;Grupo C;1447080.7699999998;257.0;469.22203955901415
2019-12;LVT;Hospital Prof. Doutor Fernando Fonseca, EPE;HFF;38.7422257, -9.2264834;Grupo D;15200623.14;2840.0;446.02767429577466
2019-12;Centro;Centro Hospitalar e Universitario de Coimbra, E.P.E.;CHUC;40.2191523, -8.4098211;Grupo E;11876829.559999999;3024.0;327.29358355379185
2019-12;LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;CHULN;38.7500861, -9.1616116;Grupo E;21298410.54;4730.0;375.23626744186043
2019-12;Norte;Centro Hospitalar Universitário de São João, EPE;CHUSJ;41.1831056, -8.6010558;Grupo E;11208823.91;2684.0;348.01365840784894
